HD02_VD148,Margin of Error; Female: - Wholesale trade: - Alcoholic beverages merchant wholesalers
HD01_VD149,Estimate; Female: - Wholesale trade: - Farm supplies merchant wholesalers
HD02_VD149,Margin of Error; Female: - Wholesale trade: - Farm supplies merchant wholesalers
HD01_VD150,Estimate; Female: - Wholesale trade: - Miscellaneous nondurable goods merchant wholesalers
HD02_VD150,Margin of Error; Female: - Wholesale trade: - Miscellaneous nondurable goods merchant wholesalers
HD01_VD151,Estimate; Female: - Wholesale trade: - Wholesale electronic markets and agents and brokers
HD02_VD151,Margin of Error; Female: - Wholesale trade: - Wholesale electronic markets and agents and brokers
HD01_VD152,Estimate; Female: - Retail trade:
HD02_VD152,Margin of Error; Female: - Retail trade:
HD01_VD153,Estimate; Female: - Retail trade: - Motor vehicle and parts dealers
HD02_VD153,Margin of Error; Female: - Retail trade: - Motor vehicle and parts dealers
HD01_VD154,"Estimate; Female: - Retail trade: - Furniture and home furnishings, and household appliance stores"
HD02_VD154,"Margin of Error; Female: - Retail trade: - Furniture and home furnishings, and household appliance stores"
HD01_VD155,Estimate; Female: - Retail trade: - Electronics stores
HD02_VD155,Margin of Error; Female: - Retail trade: - Electronics stores
HD01_VD156,Estimate; Female: - Retail trade: - Building material and garden equipment and supplies dealers
HD02_VD156,Margin of Error; Female: - Retail trade: - Building material and garden equipment and supplies dealers
HD01_VD157,Estimate; Female: - Retail trade: - Food and beverage stores
HD02_VD157,Margin of Error; Female: - Retail trade: - Food and beverage stores
HD01_VD158,Estimate; Female: - Retail trade: - Pharmacies and drug stores
HD02_VD158,Margin of Error; Female: - Retail trade: - Pharmacies and drug stores
HD01_VD159,"Estimate; Female: - Retail trade: - Health and personal care, except drug, stores"
HD02_VD159,"Margin of Error; Female: - Retail trade: - Health and personal care, except drug, stores"
HD01_VD160,Estimate; Female: - Retail trade: - Gasoline stations
HD02_VD160,Margin of Error; Female: - Retail trade: - Gasoline stations
HD01_VD161,"Estimate; Female: - Retail trade: - Clothing and accessories, including shoe, stores"
